city,observations,species,participants
Begues,0,0,0
Viladecans,2,2,1
Sant Climent de Llobregat,0,0,0
Cervelló,0,0,0
Sant Boi de Llobregat,1,1,1
Santa Coloma de Cervelló,0,0,0
Sant Vicenç dels Horts,0,0,0
la Palma de Cervelló,0,0,0
Corbera de Llobregat,0,0,0
Sant Andreu de la Barca,0,0,0
Castellbisbal,13,12,1
el Papiol,0,0,0
Molins de Rei,307,94,2
Sant Feliu de Llobregat,0,0,0
Cornellà de Llobregat,0,0,0
l'Hospitalet de Llobregat,21,19,2
Esplugues de Llobregat,1,1,1
Sant Just Desvern,0,0,0
Sant Cugat del Vallès,0,0,0
Barberà del Vallès,0,0,0
Ripollet,65,36,1
Montcada i Reixac,0,0,0
Sant Adrià de Besòs,4,4,1
Badalona,0,0,0
Tiana,0,0,0
Montgat,0,0,0
Barcelona,1388,334,41
el Prat de Llobregat,262,95,5
Pallejà,0,0,0
Torrelles de Llobregat,440,161,2
Castelldefels,794,313,13
Gavà,30,21,9
Sant Joan Despí,0,0,0
Santa Coloma de Gramenet,0,0,0
