PARTICIPANT,OBSERVACIONS,IDENTIFICACIONS,ESPÈCIES
ealcaniz,2105,130,196
josepdegea,1543,0,193
mpontes,1110,0,236
yespi,912,54,168
jastals,866,0,193
miquel17300,746,0,140
manelor,677,0,188
peixderoca24,622,0,178
badosa,487,59,176
virginia_canet,434,0,142
annacanela,410,0,106
martanp,398,0,84
evararo,381,0,97
adriacompte,334,0,79
eloi_sanz,330,0,71
mar_avelles,312,0,94
nuriasireni,269,0,68
gregoribdn,266,0,142
ngoncubells,260,18,46
jmturon,243,0,97
david_marco,228,0,135
martinacm,201,0,44
mingokt,177,8,75
jalaball,173,0,62
prema,163,0,80
raulcalella,146,0,77
bertamari,137,0,43
pauperrim,128,0,85
nerea,125,0,61
biosub,116,0,103
estherip,115,0,32
loreto_rodriguez,101,0,58
max,89,32,64
wolfsms,84,0,32
elisenda_casabona,83,0,49
jordisanjuanr,83,3,31
jordi2000,79,0,41
rickydiving,79,0,52
eduardmarques,69,0,55
albagarri,68,0,41
manuelmesa,62,0,45
sergio_zafra,60,0,37
uri11rodri,60,0,28
saragasull,60,0,28
ricard,58,1,35
alexdesagarra,57,1,44
oscarcg31,51,0,43
jean-pierre,48,0,34
maror,47,0,18
xavimarimon8,45,0,14
francesc_fabra,42,0,27
sos_loreina,40,0,18
lidiu0,40,0,26
mcomerma,40,0,34
eul_a_liarc,40,0,22
irenebernabeu,39,0,19
xevisan,39,0,17
jordimares,37,0,18
mariav,37,0,19
psoler,36,0,20
mjvergotti,35,0,27
uriborrajo,35,0,28
manelnoe,35,0,28
tonihillaalos,34,0,23
carladc,34,0,18
francesc_fg,34,0,15
a_carulla,33,0,26
jaume,32,0,15
francismpp,31,0,28
josjavier,31,0,19
nuriamkuin,31,0,24
eminguez,30,0,23
congres-indians,30,0,6
francesca,28,0,18
aff,28,0,20
thais,28,0,20
denisemarrero3,27,0,11
candrito,25,0,23
juancarlosdiez,24,0,16
danisantiago,22,0,17
xavilllabot,21,0,9
sergimartin,21,0,14
bieldpl,21,0,13
singuermorning,21,0,16
cescarrer,20,0,14
xavibou,19,0,17
jordidiver,19,0,16
julizansca,18,0,13
n1jol,18,0,18
hectorserranocereijo,17,0,15
divers,17,0,16
eso2a,17,0,5
pedrogono,17,0,13
alicate_cr,17,0,13
adriana,16,0,15
aquamani,15,0,15
manuel,15,0,10
marionaclaramunt,15,0,10
arnau,14,0,12
monsblaus,13,0,10
ariana,13,0,9
mire,13,0,8
roberto,13,0,12
nereavieitez,13,0,9
pvives,13,0,12
lauraaa,12,0,8
mathildelpef,12,0,11
campus2024,12,0,6
yherla,12,0,12
olivencia88,11,0,8
berta03,11,0,10
lioba,11,0,7
angelarroyes,11,0,8
marcfotosub,11,0,10
alexiaaa,11,0,7
laiaalc,11,0,11
iago,10,0,3
miguel_angel_fuentes,10,0,9
longibanda,9,0,9
labatalladealbert,9,0,7
fflorens,9,0,4
asters,9,0,7
juligmez,9,0,3
ivanesence,9,0,3
jarderiu,9,0,5
supergava,8,0,4
rosadelsvents,8,0,3
alexdot,8,0,6
luabgra,8,0,3
jcoines,7,0,4
pepe_molero,7,0,7
javiergg,7,0,6
arturo,7,0,7
lausanchezvila,7,0,4
cecilius,7,0,4
iollalle,6,0,3
mayi,6,0,6
pauruizmartinez,6,0,3
oli8,6,0,5
saritaaaa,6,0,4
miriam,6,0,2
jordifors,6,0,4
grupb_miquel,5,0,4
bernatperalta,5,0,2
alex_bdl,5,0,4
martoledo,5,0,4
proyectovelella,5,0,3
iviflow,5,0,5
mestralet,5,0,4
centreimmersiocapdecreus,4,0,4
ggn,4,0,3
ordejon,4,0,4
eulalia_busquets,4,0,2
joanet2011,4,0,2
miro,4,0,3
madesa,4,0,1
mvinola,4,0,4
holapoma,4,0,3
iria_apr7,4,0,3
ineram,4,0,2
okeanoslife,3,0,3
emilymartin,3,0,2
aina,3,0,1
migui,3,0,3
betty,3,0,2
leoalrom,3,0,3
darube,3,0,2
sea_visitor,3,0,1
mochilo75,3,0,2
danieelaa,3,0,2
sergito,3,0,0
ainoaa,3,0,2
domenica,3,0,3
arisoler,3,0,2
encmontse,3,0,2
janbenedicto,2,0,1
biel_tapia,2,0,1
aritz,2,0,2
tony,2,0,1
maviedro,2,0,2
ponto,2,0,2
ericgomez,2,0,1
bernatgel,2,0,1
jolumase,2,0,2
vmitjans,2,0,2
merialorda,2,0,1
divemike,2,0,1
andreurocamora,2,0,1
manel419,2,0,1
clara_tor-09,2,0,0
mireia_tor-09,2,0,0
srolivella,2,0,1
nachogomez-belinchon,2,0,1
davidtsh,2,0,2
shey,1,0,1
saradpl,1,0,1
audgardr,1,0,1
irena,1,0,0
karenrkts1,1,0,0
marimuntanya,1,0,0
asc,1,0,1
luciathalassa,1,0,0
oldhippie,1,0,1
korsario,1,0,1
rele,1,0,0
cfustermaria,1,0,0
alexia123,1,0,0
tosafre,1,0,1
peter,1,0,1
nancy_unisub,1,0,1
itziardiving,1,0,1
robert,1,0,1
kiko,1,0,0
toni,1,0,1
antoniosubira,1,0,0
joel_ruz_mengual,1,0,0
marki,1,0,0
peli,1,0,1
victorblanco,1,0,1
itziarburgues,1,0,1
lidia_pellicer-09,1,0,0
manel,1,0,0
elultimocoral,1,0,1
gatpanxamunt,1,0,1
eso2c,1,0,1
nigelbax,1,0,1
javiermendez,1,0,1
neuscdm,1,0,1
jmmora04,1,0,1
cem,1,0,1
albertolr88,1,0,1
canboetjardi,1,0,1
